Epoch	Natural Test Acc	FGSM Acc	PGD20 Acc	CW Acc	
1.000000	0.354000	0.153900	0.097800	0.090200	
2.000000	0.518900	0.190500	0.057800	0.058600	
3.000000	0.584000	0.180700	0.046900	0.050200	
4.000000	0.695800	0.210700	0.035000	0.039900	
5.000000	0.737200	0.234000	0.044600	0.052100	
6.000000	0.740400	0.264100	0.055000	0.060500	
7.000000	0.756600	0.244200	0.045700	0.046700	
8.000000	0.691200	0.226500	0.066500	0.069900	
9.000000	0.739000	0.266000	0.053900	0.060300	
10.000000	0.794300	0.275900	0.050100	0.056400	
11.000000	0.757400	0.183100	0.017500	0.021800	
12.000000	0.802000	0.241600	0.030200	0.035900	
13.000000	0.788800	0.259800	0.058300	0.056900	
14.000000	0.805600	0.275500	0.053800	0.056900	
15.000000	0.827200	0.278000	0.044600	0.049100	
16.000000	0.814500	0.288700	0.062200	0.062900	
17.000000	0.725500	0.232900	0.042800	0.045500	
18.000000	0.833100	0.308200	0.067000	0.067000	
19.000000	0.807200	0.271700	0.055000	0.054200	
20.000000	0.835200	0.321600	0.059300	0.061600	
21.000000	0.829900	0.309100	0.071200	0.074600	
22.000000	0.814100	0.290100	0.058100	0.058100	
23.000000	0.759400	0.230400	0.040600	0.038000	
24.000000	0.834700	0.287500	0.051400	0.052200	
25.000000	0.818400	0.288500	0.059300	0.057900	
26.000000	0.849000	0.312100	0.057900	0.062200	
27.000000	0.839100	0.313100	0.059500	0.060200	
28.000000	0.840500	0.288200	0.058800	0.055800	
29.000000	0.840100	0.322900	0.072800	0.079000	
30.000000	0.844600	0.329000	0.075600	0.078000	
31.000000	0.832500	0.306500	0.073400	0.073900	
32.000000	0.826900	0.292300	0.050500	0.049600	
33.000000	0.822000	0.261600	0.046900	0.039000	
34.000000	0.856800	0.324400	0.078000	0.070800	
35.000000	0.832000	0.282400	0.070700	0.055800	
36.000000	0.773400	0.245500	0.039200	0.030300	
37.000000	0.821200	0.302100	0.087400	0.070700	
38.000000	0.849000	0.311500	0.061000	0.055100	
39.000000	0.840400	0.320900	0.072400	0.065900	
40.000000	0.800500	0.232200	0.029000	0.025200	
41.000000	0.807600	0.271300	0.056200	0.046700	
42.000000	0.833800	0.288400	0.078700	0.053900	
43.000000	0.852300	0.334600	0.065900	0.053200	
44.000000	0.832500	0.298900	0.071100	0.066600	
45.000000	0.837100	0.296900	0.061200	0.054500	
46.000000	0.812500	0.248800	0.045200	0.034400	
47.000000	0.839300	0.268600	0.035200	0.036000	
48.000000	0.847400	0.289200	0.056200	0.042100	
49.000000	0.813900	0.294700	0.067400	0.058600	
50.000000	0.852900	0.330400	0.069100	0.063900	
51.000000	0.871700	0.395100	0.094200	0.102600	
52.000000	0.860300	0.375900	0.088900	0.096100	
53.000000	0.837400	0.368900	0.090700	0.096800	
54.000000	0.854500	0.370000	0.085300	0.090900	
55.000000	0.843700	0.368600	0.102600	0.108100	
56.000000	0.861900	0.366700	0.087700	0.095100	
57.000000	0.833200	0.345900	0.088000	0.093200	
58.000000	0.851400	0.364100	0.095000	0.104200	
59.000000	0.854900	0.383300	0.108100	0.117600	
60.000000	0.900100	0.447200	0.137800	0.147700	
61.000000	0.900400	0.444200	0.134000	0.144900	
62.000000	0.903400	0.451400	0.138800	0.145600	
63.000000	0.904700	0.448700	0.133300	0.139500	
64.000000	0.904800	0.450000	0.138600	0.145500	
65.000000	0.906300	0.448300	0.131400	0.138700	
66.000000	0.906400	0.447100	0.137100	0.141800	
67.000000	0.903900	0.445200	0.138000	0.143700	
68.000000	0.905900	0.455800	0.142600	0.146700	
69.000000	0.906900	0.446600	0.137100	0.141300	
70.000000	0.908600	0.446400	0.139100	0.142900	
71.000000	0.905700	0.444500	0.134200	0.135700	
72.000000	0.903900	0.444000	0.138800	0.139200	
73.000000	0.904500	0.440500	0.135600	0.138000	
74.000000	0.905000	0.443600	0.135300	0.136000	
75.000000	0.907000	0.433800	0.126600	0.125400	
76.000000	0.903400	0.446700	0.142400	0.140200	
77.000000	0.905000	0.442700	0.136400	0.134800	
78.000000	0.904500	0.451300	0.142600	0.140600	
79.000000	0.906000	0.442200	0.135700	0.134800	
80.000000	0.905400	0.444000	0.136600	0.133800	
81.000000	0.903700	0.439900	0.131000	0.129700	
82.000000	0.904900	0.424300	0.125400	0.122100	
83.000000	0.904300	0.431500	0.131800	0.124800	
84.000000	0.904500	0.435300	0.138300	0.131600	
85.000000	0.904700	0.430200	0.122800	0.116200	
86.000000	0.907200	0.426200	0.120700	0.114700	
87.000000	0.904000	0.442100	0.135600	0.131400	
88.000000	0.905900	0.427100	0.126200	0.122700	
89.000000	0.907800	0.435700	0.129800	0.124700	
90.000000	0.910300	0.438200	0.134400	0.129900	
91.000000	0.909600	0.441900	0.136100	0.130500	
92.000000	0.910600	0.439900	0.137900	0.133700	
93.000000	0.910400	0.441300	0.136000	0.132400	
94.000000	0.909800	0.441500	0.136200	0.131500	
95.000000	0.910000	0.444300	0.136700	0.132600	
96.000000	0.909900	0.444500	0.138700	0.135600	
97.000000	0.910900	0.442600	0.136100	0.132900	
98.000000	0.910500	0.444000	0.136800	0.133400	
99.000000	0.910800	0.444900	0.136400	0.133400	
100.000000	0.909400	0.441700	0.135200	0.130900	
101.000000	0.909000	0.441500	0.133800	0.132600	
102.000000	0.910700	0.438700	0.134600	0.133400	
103.000000	0.910000	0.441500	0.136300	0.130700	
104.000000	0.911100	0.441000	0.134800	0.132800	
105.000000	0.909600	0.439100	0.132900	0.129500	
106.000000	0.910400	0.444100	0.135900	0.133600	
107.000000	0.910000	0.440800	0.133000	0.129900	
108.000000	0.909900	0.437500	0.133000	0.128800	
109.000000	0.908600	0.442400	0.136700	0.132300	
110.000000	0.910000	0.438600	0.131100	0.129800	
111.000000	0.910800	0.441700	0.133200	0.131800	
112.000000	0.910800	0.440400	0.133400	0.129900	
113.000000	0.909500	0.440900	0.131600	0.128800	
114.000000	0.911500	0.438600	0.132700	0.129800	
115.000000	0.910400	0.439500	0.133100	0.131200	
116.000000	0.910600	0.439600	0.133400	0.130900	
117.000000	0.910500	0.442400	0.132600	0.131600	
118.000000	0.911000	0.437500	0.132300	0.130800	
119.000000	0.910800	0.443600	0.134100	0.132500	
120.000000	0.911100	0.438400	0.132900	0.131100	
