Epoch: [34 | 120] | Train Time: 65.00 s | BP Average: 4.69 | Natural Test Acc 0.81 | FGSM Test Acc 0.42 | PGD20 Test Acc 0.19 | CW Test Acc 0.21 |

Epoch: [35 | 120] | Train Time: 66.00 s | BP Average: 4.87 | Natural Test Acc 0.82 | FGSM Test Acc 0.47 | PGD20 Test Acc 0.23 | CW Test Acc 0.24 |

Epoch: [36 | 120] | Train Time: 66.00 s | BP Average: 4.87 | Natural Test Acc 0.81 | FGSM Test Acc 0.42 | PGD20 Test Acc 0.18 | CW Test Acc 0.19 |

Epoch: [37 | 120] | Train Time: 67.00 s | BP Average: 4.91 | Natural Test Acc 0.80 | FGSM Test Acc 0.41 | PGD20 Test Acc 0.18 | CW Test Acc 0.19 |

Epoch: [38 | 120] | Train Time: 65.00 s | BP Average: 4.80 | Natural Test Acc 0.71 | FGSM Test Acc 0.35 | PGD20 Test Acc 0.19 | CW Test Acc 0.20 |

Epoch: [39 | 120] | Train Time: 66.00 s | BP Average: 4.94 | Natural Test Acc 0.76 | FGSM Test Acc 0.43 | PGD20 Test Acc 0.23 | CW Test Acc 0.25 |

Epoch: [40 | 120] | Train Time: 66.00 s | BP Average: 4.89 | Natural Test Acc 0.81 | FGSM Test Acc 0.45 | PGD20 Test Acc 0.23 | CW Test Acc 0.24 |

Epoch: [41 | 120] | Train Time: 66.00 s | BP Average: 4.91 | Natural Test Acc 0.78 | FGSM Test Acc 0.38 | PGD20 Test Acc 0.16 | CW Test Acc 0.17 |

Epoch: [42 | 120] | Train Time: 66.00 s | BP Average: 4.89 | Natural Test Acc 0.72 | FGSM Test Acc 0.37 | PGD20 Test Acc 0.17 | CW Test Acc 0.19 |

Epoch: [43 | 120] | Train Time: 67.00 s | BP Average: 5.01 | Natural Test Acc 0.82 | FGSM Test Acc 0.47 | PGD20 Test Acc 0.23 | CW Test Acc 0.25 |

Epoch: [44 | 120] | Train Time: 66.00 s | BP Average: 4.88 | Natural Test Acc 0.80 | FGSM Test Acc 0.43 | PGD20 Test Acc 0.20 | CW Test Acc 0.21 |

Epoch: [45 | 120] | Train Time: 66.00 s | BP Average: 4.86 | Natural Test Acc 0.80 | FGSM Test Acc 0.44 | PGD20 Test Acc 0.21 | CW Test Acc 0.23 |

Epoch: [46 | 120] | Train Time: 67.00 s | BP Average: 5.00 | Natural Test Acc 0.81 | FGSM Test Acc 0.44 | PGD20 Test Acc 0.21 | CW Test Acc 0.23 |

Epoch: [47 | 120] | Train Time: 67.00 s | BP Average: 5.00 | Natural Test Acc 0.83 | FGSM Test Acc 0.46 | PGD20 Test Acc 0.23 | CW Test Acc 0.24 |

